Players,常用位置,比赛场次,KDA,参团率,场均击杀,单场最高击杀,场均助攻,所属战队id
RW侠.Cbuqi,中路,10,1.79,59.00%,0.3,,4.4,11
KS.YTG.一曲,中路,10,2.27,73.77%,1.4,,3.2,7
KS.YTG.冷心,打野,9,5.18,79.78%,2,,5.44,7
KS.YTG.冷陌,打野,8,1.1,54.29%,1.38,,2.25,7
成都AG超玩会.最初,辅助,8,1.91,58.51%,0.62,,6.62,1
成都AG超玩会.啊泽,对抗路,8,5.22,73.58%,1.25,,8.12,1
南京Hero.星痕,对抗路,7,4.29,56.20%,3.71,,4.71,6
杭州LGD大鹅.清凡,辅助,5,4.45,71.78%,0.8,,5.8,8
TES.夏竹,辅助,5,3.45,55.91%,0,,7.8,12
杭州LGD大鹅.暖海,打野,5,5.55,59.86%,2.6,,4.8,8
上海EDGM.温旭,中路,5,4.07,63.15%,1,,4.4,3
上海EDGM.小北,辅助,4,3.62,64.31%,0.25,,5.5,3
KS.YTG.九月,辅助,4,1.49,66.94%,0,,5.75,7
成都AG超玩会.麟羽,打野,4,2.41,58.16%,2.75,,3.5,1
TES.苏沫,对抗路,4,2.58,49.06%,1.75,,2,12
上海EDGM.浪浪,中路,4,5.62,70.28%,1.25,,4.75,3
杭州LGD大鹅.一梦,中路,3,3.33,75.56%,1.33,,4.33,8
KS.YTG.路西法,上路,2,1.38,54.76%,1,,3.5,7
KS.YTG.小壳,下路,2,0.2,33.33%,0,,1,7
RW侠.洋洋,对抗路,2,0.5,60.00%,0.5,,1,11
重庆QGhappy.杰杰,对抗路,1,1,100.00%,0,,1,9
